Sample,Response,RT,Correct,participant,session,gender,experiment_name,date,
2080,,,0,GF,001,male,cognitive flex,"February 07, 2019",
4060,,,0,GF,001,male,cognitive flex,"February 07, 2019",
2080,,,0,GF,001,male,cognitive flex,"February 07, 2019",
2080,,,0,GF,001,male,cognitive flex,"February 07, 2019",
4060,,,0,GF,001,male,cognitive flex,"February 07, 2019",
4060,n,1.989167493999986,0,GF,001,male,cognitive flex,"February 07, 2019",
4060,m,1.6868882580000104,1,GF,001,male,cognitive flex,"February 07, 2019",
2080,m,0.9261492899999837,1,GF,001,male,cognitive flex,"February 07, 2019",
4060,n,1.8414490520000015,0,GF,001,male,cognitive flex,"February 07, 2019",
2080,m,1.5626161389999993,1,GF,001,male,cognitive flex,"February 07, 2019",
