Sample,Response,RT,Correct,participant,session,gender,experiment_name,date,
4060,,,0,GF,001,male,cognitive flex,"February 07, 2019",
2080,m,0.08027557500000171,1,GF,001,male,cognitive flex,"February 07, 2019",
4060,n,1.765446336999986,0,GF,001,male,cognitive flex,"February 07, 2019",
2080,m,1.7906459410000082,1,GF,001,male,cognitive flex,"February 07, 2019",
2080,m,1.609034992000005,1,GF,001,male,cognitive flex,"February 07, 2019",
2080,,,0,GF,001,male,cognitive flex,"February 07, 2019",
4060,m,0.3127180260000273,1,GF,001,male,cognitive flex,"February 07, 2019",
2080,m,1.8789740990000041,1,GF,001,male,cognitive flex,"February 07, 2019",
4060,m,2.4873960399999646,1,GF,001,male,cognitive flex,"February 07, 2019",
2080,m,2.1240585329999817,1,GF,001,male,cognitive flex,"February 07, 2019",
