Sample,Response,RT,Correct,participant,session,gender,experiment_name,date,
8020,m,2.2872395370000014,0,,001,,Hysterisis,"December 07, 2018",
8020,n,0.7276174269999984,1,,001,,Hysterisis,"December 07, 2018",
8020,,,0,,001,,Hysterisis,"December 07, 2018",
2080,,,0,,001,,Hysterisis,"December 07, 2018",
6040,,,0,,001,,Hysterisis,"December 07, 2018",
4060,,,0,,001,,Hysterisis,"December 07, 2018",
1090,,,0,,001,,Hysterisis,"December 07, 2018",
1000,,,0,,001,,Hysterisis,"December 07, 2018",
7030,,,0,,001,,Hysterisis,"December 07, 2018",
0100,,,0,,001,,Hysterisis,"December 07, 2018",
6040,,,0,,001,,Hysterisis,"December 07, 2018",
3070,,,0,,001,,Hysterisis,"December 07, 2018",
1000,,,0,,001,,Hysterisis,"December 07, 2018",
7030,,,0,,001,,Hysterisis,"December 07, 2018",
4060,,,0,,001,,Hysterisis,"December 07, 2018",
9010,,,0,,001,,Hysterisis,"December 07, 2018",
9010,,,0,,001,,Hysterisis,"December 07, 2018",
1090,,,0,,001,,Hysterisis,"December 07, 2018",
7030,,,0,,001,,Hysterisis,"December 07, 2018",
9010,,,0,,001,,Hysterisis,"December 07, 2018",
3070,,,0,,001,,Hysterisis,"December 07, 2018",
