Sample,Response,RT,Correct,participant,session,gender,experiment_name,date,
2080,n,1.7983677989999904,0,,001,,Hysterisis,"February 22, 2019",
2080,m,0.27405736900000477,1,,001,,Hysterisis,"February 22, 2019",
2080,m,0.7012396849999902,1,,001,,Hysterisis,"February 22, 2019",
2080,m,0.20556276199999957,1,,001,,Hysterisis,"February 22, 2019",
4060,,,0,,001,,Hysterisis,"February 22, 2019",
4060,n,0.005808455000007484,0,,001,,Hysterisis,"February 22, 2019",
4060,m,0.003013969999997812,1,,001,,Hysterisis,"February 22, 2019",
2080,,,0,,001,,Hysterisis,"February 22, 2019",
2080,m,0.28512075299998685,1,,001,,Hysterisis,"February 22, 2019",
4060,m,0.13526454699999135,1,,001,,Hysterisis,"February 22, 2019",
