Sample,Response,RT,Correct,participant,session,gender,experiment_name,date,
2080,,2.5,0,,001,,Hysterisis,"February 27, 2019",
6040,,2.5,0,,001,,Hysterisis,"February 27, 2019",
4060,,2.5,0,,001,,Hysterisis,"February 27, 2019",
8020,,2.5,0,,001,,Hysterisis,"February 27, 2019",
4060,,2.5,0,,001,,Hysterisis,"February 27, 2019",
2080,,2.5,0,,001,,Hysterisis,"February 27, 2019",
4060,,2.5,0,,001,,Hysterisis,"February 27, 2019",
2080,,2.5,0,,001,,Hysterisis,"February 27, 2019",
6040,,2.5,0,,001,,Hysterisis,"February 27, 2019",
6040,,2.5,0,,001,,Hysterisis,"February 27, 2019",
